Activity Code,Activity Name,Description
7410004,Calligraphers &," Painters Includes firms engaged in the art of writing through hand lettering to produce different forms artistic writings such as, certificates, invitations, envelopes, business branding and logos, it involves drawing and painting works as a form of different arts, including visual, arts, abstract arts, sketch arts, decorative arts, illustration arts, as well as graffiti, also, body painting, where artwork is painted directly onto the adults and children skin, unlike tattoo which is prohibited."
9321008,Camels & Horses, Hiring Includes offering camels and horses for riding in live events.
8299013,Car Covering Services includes renting prefabricated temporary sheds for cars shelter in public parking lot for short, periods.
5229003,Car Guarantee," Extension Services Includes firms act as coordinator between insurance companies, products dealers in one hand and their customers who desire to extend the warranty of the automobiles they purchase beyond the manufacturer’s warranty, the role of such firms is restricted to coordination and management of the process only."
4520017,Car Polish Services, Includes performing auto exterior polishing and waxing to bring back the shine and gloss to the car's paintwork as well as all other visible components on the exterior of a vehicle.
7710001,Car Rental," Includes firms which rent automobiles for short periods of time, without drivers, to people who do not own their own car, travelers who are out of town or owners of damaged or destroyed vehicles who are awaiting repair."
7710015,Car Rental By," Electronic Media & Smart Apps. Includes firms authorized by the RTA to provide the rental service via calls, electronic media, smart apps, or any other mean, it involves organizing the booking, e-Payment, information, customer support services."
4520009,Car Washing &," Cleaning Includes firms engaged in different vehicles washing and cleaning services through immovable auto or manual washing stations, it involves cars, trucks, buses, motorcycles."
7730024,Caravans Rental," Includes caravans (mobile homes) rental whether they are towed or self mobile motor vehicles and which are equipped for living, camping or traveling."
8620004,Cardiac Clinic, Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the heart as well as the prescription of medicine.
1811006,Cards & Envelopes," Printing Includes printing business cards, invitation cards to official events and celebrations, season's greeting cards and weddings congratulations cards. This also includes printing the envelopes."
7730025,Cargo Containers," Rental Includes renting and leasing different dimensions containers to store and transfer freight from one mode of transport to another by ships, air, rail and semi-trailer trucks."
3311008,Cargo Containers, Repair & Maintenance Includes repairing and maintaining different dimensions containers used for storing and transporting freight.
1622007,Carpentry, Includes small carpentry workshops whose activities are limited to making household and personal items as well as producing simple wooden products.
4330005,Carpentry & Flooring, Contracting Includes fiooring installation and woodwork inside the house except home furniture.
9601006,Carpets & Textiles," Mending Includes shops which undertake repairing clothes, carpets, garments, curtains etc."
9601004,Carpets Cleaning," Includes shops which offer washing services for various kinds of carpets, be it moquette, machines- made decoration pieces, hand-made oriental carpets. These services include cleaning or washing the carpets either on site or at the laundry, or re-dying or treating the carpets with materials to restore or strengthen the original colors in addition to the repair and sewing up operations. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
5911006,Cartoons Production, Includes firms engaged in animated cartoons creation as well as the 2 and 3- dimensional animation graphic techniques.
5629002,Catering Services," Includes firms engaged in the provision of food and beverages on contractual arrangements with schools, institutes, hospitals, airlines, shipping companies and contractors with fresh meals cooked and prepared in own kitchens such firms must own necessary facilities to carry out the catering activities."
6619023,Central Clearing," Services for Securities Includes firms licensed by the Securities & Commodities Authority for the representation of the counterparty for all trades (Novation) in the market in consideration for a specific commission while ensuring the execution all trades concluded in the market, and determining the net rights and liabilities of the central clearing members for such trades, and determining their legal statuses arising from the trading operations."
6619029,Central Depository, Services for Securities
8020102,Central Station, Linking Services Includes establishing a link between the security alarm central stations and the peripheral equipment.
8890002,Charity Society," Includes charity societies founded for collecting donations, grants and alms, and spending them on the charity works and projects either inside or outside the country, expenditure aspects include in particular grants for the needy Muslims, students, orphans, preachers, building mosques, schools etc."
7120002,Chemical &," Biological Laboratory Includes firms which mainly conduct chemical and biological analysis, measurement and weight verification of various materials, metals or elements, such as analysis of building materials, soil metals and chemical materials or foodstuffs, to determine the chemical composition thereof. This also includes laboratory tests of materials and elements to determine mechanical characteristics such as solidity, cohesion, or resistance etc. The establishment's activities are restricted to offering said services and issuing certificates or reports thereon."
7110406,Chemical & Oil," Engineering Consultancies Includes firms which offer chemical engineering services and consultancies with all precise specializations such as oil refining engineering, industrial, metal and plastic engineering, chemical compound testing of the materials and the atomic composition of the elements and services related to the branches of chemical engineering, the minimal qualifications required is bachelor degree in chemical or Petroleum engineering, along with three years hands-on experience."
9312004,Chess Club," Includes firms specialized in the instruction of Chess, whether inside the firm’s own facility or elsewhere, It involves the operation of the equipped sports facilities to allow for playing chess."
9609024,Child Identification," kit Making Includes firms offering the services preparing the child identity kit which contains vital information about the child and which would be handed to the police in the event of emergency or if the child is missing, the kit includes the child’s personal information, recent photograph, health history, fingerprint certificate, in addition to tips for parents on what they can do to increase their child health and safety."
8549009,Child Skills," Development Training Includes institutions engaged in the provision of instruction which enriches and develops the non- academic skills of students by providing them with tools to supplement formal education, the content provided by these centers is different from formal school education and does not lead to formal school qualifications or assist in the passing of school examinations."
8690039,Childbirth Support," Services (Doula) Includes providing professional services provided by a doula aiming at psychologically and emotionally support a mother before, during and shortly after childbirth, it involves meeting the mother physical and informational needs, it involves giving information about various birth choices, giving continuous support to overcome labor pain, assist in facilitating communication between the mother and care provider, assisting in breastfeeding after birth, no medical care is involved, the minimal qualifications required is a Certified Birth Doula (CBD)."
7729007,Children Carts Rental," Includes firms providing special kinds of manual and automatic playing carts to children under six. Such carts are available for rental by the parents who accompany their children in shopping centres, parks or public utilities."
7721002,Children Games &," Baby Care Requisites Rental Includes renting children rides and games including swings, slides, house and aircraft models, whether made of solid and safe materials or of infiatable objects, also, new-born cradles, chairs, beds, walkers, prams, baskets, linen and covers."
9602901,Children," Hairdressing Includes firm salons involved in children hair dressing, as well as other cosmetic treatments which involve children's face painting for different entertainment occasions. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
8720004,Children with Autism," Rehabilitation Center Includes centers engaged in specialized services to children with Autism, their families and the professionals working with them, it involves delivering them with psychological, rehabilitative, care and support programs, as well as applying educational plans to foster their behavioral, imitative, emotional, social, functional, communicative basic skills and also their academic and pre- academic skills as well."
8690014,Chiropractic Center," A health facility specialized in correction of vertebral column joints and bones status by mechanical manipulation of the vertebral column. It includes preparing the patient for manual therapy through muscle relaxant devices such as thermal, electrical, ultra- sound devices and others."
9000110,Circus," Includes entertainment performances held in fixed places or mobile tents, the performers include clowns, acrobats, hoppers, trapeze acts, tightrope walkers, trained animals."
5223004,Civil Aviation, Information Services Includes firms specialized in receiving all information and data concerning civil aviation operations according to specific information system and to make these information available to its member companies to use in its fiights and passengers reservation.
4311002,Civil Exploding," Works Includes firms engaged in exploding operations for civil purposes on the surface, underground or underwater, also, for construction purposes such as breaking rock layers, building demolition, land filling and leveling deepening water ways ..etc. Exploding for geological test and other civil purposes are also included."
6621003,Claims Settlement," Services Includes offices specialized in managing and settling claims arising from transactions involving insurance , such claims arise when said parties become unaware of what legally due to them when the contracts concluded between them are violated, practicing this activity requires in-depth knowledge of rules and regulating laws, no debt collection or tax reclaim are included."
6619020,Clearing Services for, Commodities Contracts Includes specialized firms licensed by Securities & Commodities Authority to engage in calculating the net rights and obligations of the clearing house members.
8690009,Clinical Laboratory, A licensed health facility where a pathologist is permanently available. It is equipped to perform various medical analysis tests for medical diagnosis purposes.
9601001,Cloth Pressing," Services Includes providing pressing all kinds of clothing and textiles, provided by hand, by mechanical equipment, or by self-service coin-operated machines, whether for the general public or for industrial or commercial clients."
6311010,Cloud Service &," Datacenters Providers Includes firms that offer elements of cloud computing, such as software or platform as services provided in the cloud."
7110604,Coastal Engineering," Consultancies Includes firms engaged in providing consultancies, designs and construction supervision of coastal protection and defence works, involving studying the effect of waves, hydrodynamics and sediment transport through numerical and/or physical models, design of coastal structures viz., revetments, seawalls, groynes, breakwaters, marine intakes and outfalls etc., design of beaches, dredging and reclamation, ground improvement."
1079005,Coffee Roasting &," Packaging Includes roasting, grinding and packaging coffee beans in well sealed packs or bags for marketing."
5630001,Coffee Shop," Includes shops sell coffee, tea, Juices, biscuits and certain sweet cakes and ice-creams to the public."
6619015,Collateral," Management Services Includes firms specialized in providing custodial and management services in respect of goods pledged or charged to banks and other financial institutions, they mainly receive, store and latter release said goods in accordance with the terms of the agreement concluded between them and other involved parties."
8530003,College," Includes scientific and educational institutions which operate independently of a university and is engaged in teaching applied and social sciences at university, and post graduate levels (higher studies), they adopt the recognized regulations and curriculums, they provide the essential elements for the scientific research and studies as well as awarding their students the degrees of their respective levels."
1812003,Color Separation," Services Includes firms specialized in providing pre-printing analysis and color separation services for photographs, drawings and other similar materials. It also includes preparing films and fixing the proportions used colors. This also includes any other related services. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
4610010,Commercial Brokers," Includes firms engaged in bringing sellers and buyers involved in wholesale and retail trade together in return of a commission or remuneration, these firms are neither allowed to trade on own account nor practice brokerage in real estate, services, shares and bonds and finance."
8299006,Commercial," Information Services Includes firms engaged in the provision of information on business potentials and investment opportunities as well as on how to practice business Dubai, these firms are not allowed to visit the premises of other firms to inspect or collect information about their activities."
7420001,Commercial," Photographs Production Includes photographing in specialized studios or on location to produce pictures for different commercial purposes such as press documentaries, fashion shows, tourist items, advertising agencies pictures, as well as air shooting of landscape and urban landmarks."
5811006,Commercial," Publications Editing Includes firms that provide editing process to publishers and others who are involved in publishing and printing various commercial publications, their responsibility involves correction, condensation, organization, and other modifications performed with an intention of producing a correct, consistent, accurate and complete work."
3320003,Communication &," Wireless System Equipment Installation Includes firms specialized in installing telecommunication apparatus, including main switchboards and exchanges well as calls transfer devices and the satellites ground stations."
7110114,Communication," Engineering Services Includes providing services and consultancies related to the transmission of voice, data, and video using a wired or wireless telecommunications infrastructure, involving switching and transmission facilities to provide point-to-point communications via landlines, microwave or a combination of landlines and satellite linkups, cable distribution systems, cellular and other wireless telecommunications networks, the minimal qualifications required is bachelor degree in electrical engineering, along with three years hands-on experience."
8530001,Community College," Includes technical colleges which offer technical education services of two years or more after the secondary school certificate, and grant diplomas in the various fields."
7010004,Companies," Representation Includes firms act as representative of foreign companies or enterprises in the UAE, as per contracts and authorizations, in order to promote their products and services, boost business, or facilitate commercial agreements between the principals the potential customers, contacting local businesses to encourage imports from the principals, such firms are not allowed to carry out any trading activities by themselves."
7120021,Compliance," Certification For Building Construction Products Includes firms serve as representatives for international organizations and authorities, which issue compliance certificates for materials and products used in Building Construction in accordance to international standards, it also includes inspection, supervision and control of certified factories, which manufacture these products."
4321004,Computer Network &," Infrastructure Installation & Maintenance Includes firms specialized in preparing and installing and maintaining the network and infrastructure of electronic computers, including the excavations for the extension cables and wires, optical fiber, and focal points as well as the attached devices such as servers and compounds connect (including wireless technology), so the composition of the electronic network a group of computers can benefit from the services provided by other computers linked to the network, it involves installing passive and active computer network and WIFI as well as the associated equipment and systems in large complexes such as hotels, hospitals, shopping malls …etc."
9511001,Computer Repair &," Maintenance includes the repair of desktop and laptop computers and peripheral equipment , involving magnetic disk drives, fiash drives and other storage devices, printers, monitors, keyboards, internal and external computer modems, servers."
6311009,Computer System, Housing Services Includes firms engaged in providing concerned companies and corporations with housing services to their computers and communication systems by means of securing them the adequate operational environment as well as providing them with the maintenance and the connections with communication networks.
6201001,Computer Systems &," Communication Equipment Software Design Includes firms specialized in computer systems software design, implementation, operation and maintenance based on analyzing the user's problems and his need for economical solution and the programs necessary for realizing such a solution, it involves designing application software designed to run on smartphones and mobile devices."
6202002,Computer Systems," Consultancies Includes firms which provide consultancy to enterprises and companies, prepare studies related to the analysis of users' needs as regards computer hardware and software and provide the best solutions. This also includes the choice of software that corresponds to the company's activities, the choice of operation specifications, the equipment and preparation of computer rooms. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
8549012,Computer Training," Includes institutions primarily engaged in conducting computer training, such as computer programming, computerized business systems, computer electronics technology, computer operations and local area network management, it involves training on block chain technology, in order to enhance the skills of the IT technicians to enable the integrate said technology into the existing computer network."
8110001,Concierge Services," Includes firms which provide personal concierge to serves guests of an apartment building, hotel, or office building, the services include informational requests, setting dinner reservations, making telephone calls, researching travel arrangements and tours of local attractions, arranging for spa services, coordinating porter service, procuring tickets to special events …etc."
4390023,Concrete Restoration," Includes firms engaged in concrete restoration, including the repair of the cracks and the concrete partial collapse using special kind of concrete, it involves also reinforcement steel corrosion treatment."
4390007,Concrete Works," Includes firms engaged in concrete works, including concrete injection, spray insulation as well as marine constructions concrete."
8230002,Conferences &," Seminars Organizing Includes firms which offer conference and symposium organization and administration services to the government or private bodies. These services include the activities and measures necessary for holding conferences and symposia such as receiving the participants, organizing their residences, travel and the venue of the function and providing it with the necessary facilities."
3811004,Construction &, Demolition Waste Collection & Transportation Services Includes collecting waste originating from construction and demolition activities and transport by special to disposal sites determined by concerned authorities.
7110203,Construction," Engineering Services Includes providing engineering consultancies and services and constructional drawings, including drawing up preliminary and final studies to construction projects, the minimal qualifications required is bachelor degree in civil engineering, along with three years hands-on experience."
7730009,Construction," Equipment & Machinery Rental Includes renting building and construction equipment for excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts, it does not involve the wheeled and motors operated equipment and machinery."
6619022,Consultancy," Regarding the Issuance of Securities Includes the legal entities authorized by Securities & Commodities Authority to carry out on behalf of the issuing company the management and marketing of shares issues, and to provide financial advice related to to the offering and coordination with the competent authority and the parties involved in the offering and the resident of the shares in kind."
6619021,Consulting in Listing, Securities Includes the legal entities licensed by Securities & Commodities Authority to give advice and care to the issuing companies as well as verifying compliance with the listing requirements and their continued compliance with these regulations.
8710001,Convalescence, House A health facility licensed by the concerned authority in order to provide inpatient nursing care and other health-related care to those in need of continuous care that do not require hospitalization.
7730014,Converting Industries," Equipment & Machinery Rental Includes renting and leasing machinery and equipment that are generally used by industries such as engines and turbines, machine tools, mining and oilfield equipment, measuring and controlling equipment."
9522003,Cookers & Cook Stove," Repair Includes repairing electric, gas, coal or kerosene burners, ovens and cookers."
8549015,Cooking & Household," Training Services Includes centers specialized in household economics teachings such as cooking, cutting clothes, weaving, embroidery, house ornamentation from wastes."
7020031,Cooking Consultant," Includes the provision of advice, guidance and operational assistance to hotels, restaurants, clubs, and other professionals in the hospitality industry as regarding how to skillfully preparing meals, helping create the recipes, demonstrate knowledge of the science of food, understanding of diet and nutrition, plan and execute cooking demonstrations in TV stations or any other place."
3821004,Cooking Oil Mobile," Microfiltration Includes firms specialized in purifying and filtering cooking oil as well as fryers cleaning for restaurants, hotels, hospitals and factories by vehicle mounted machines, to ensure longer oil life. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
8690032,Cord Blood Center," A health facility licensed to collect the umbilical cord blood stem cells from newly born babies and store to use in treating malignant diseases such as cancers, sickle, cell anemia, thalassemia."
7010006,Corporate Services," Provider (CSP) Includes firms providing assistance in companies’ registration and establishing their businesses on behalf of its founding members, assists companies in their partnerships with foreign companies, provision of secretarial and other related services, it excludes provision of any kind of legal services.."
9609025,Corporate Social," Responsibility Initiatives preparation Includes initiating corporate Social Responsibility activities such as environmental, cultural, and social or community support projects for companies to adopt and implement, as it would enhance the company's social responsibility and activate giving back to community. This includes preparation, execution of project such as beach clean, supporting national projects, allowing the establishment to undertake all necessary steps to implement the initiatives following a contract with the sponsor corporate."
7020022,Cost Control & Risk," Management Services Includes firms which help others in taking steps to control and ensure that the actual cost of production do not exceed the standard cost set in advance in the planning stage, it involves risk management which implies identifying the risks encounter organizations, then assessing the risks, and finally to take steps and develop strategies to enable avoiding the risk or reduce it’s negative effects or transfer to another party."
7729001,"Costumes, Shoes &"," Personal Items Rental Includes offering costumes and uniforms rental for men, women, and children, whether historical or contemporary or for masquerading, also, shoes, leather items, hats and belts and other personal items."
6619017,Credit Review," Services Includes credit applications submitted to banks by borrowers and were refused due to being outside the credit criteria or being non-complying to the banks’ regulations, it involves helping these borrowers resubmitting their applications after corrections and complying to the requirements."
9312006,Cricket Club," Includes firms specialized in the instruction of cricketl, whether inside the firm’s own facility or elsewhere, It involves the operation of the equipped sports facilities to allow for exercising these sports."
2310017,Crystal Products," Processing Includes processing crystal products like crystal glassware, novelties, sculptures and gifts, shields, badges... etc. Also included designing, cutting, engraving, polishing, sandblasting, gilding and other processes to convert crude or semi treated pieces into fully manufactured, marketable products."
6810006,Cultural Center," It's a complex comprising various cultural facilities concerned with promoting intellectual issues through organizing cultural and artistic events and activities, such as, lectures, art galleries, live theatrical presentations, concerts, it also hosts restaurants, lecture theatres and exhibitions halls, service offices and storage spaces."
5811005,Culture & Arts," Publishing Includes firms which write and publish books, magazines, brochures, both printed and electronic, specifically for and about arts and culture. Also includes promotional activities for these works such as advertising, public relations and events through a licensed media provider."
9524002,Curtains Preparing &, Fixing Includes preparing all kinds of curtains and fixing in different facilities.
6619024,Custodian of," Securities Includes the financial institutions engaged in securities as regarding the provision of electronic programs and technical systems necessary for the custody of securities in accordance with the conditions and specifications set by the market and approved by the ASCA, it includes providing an internal control system to ensure the compliance with regulations and decisions issued and the follow-up by the internal management, it involves the receipt of interests and profits along with the right to subscribe and attend meetings of the General Assembly and vote on behalf shareholders after attaining their consents, arranging for the transfer of securities by the market on behalf of investors, operating lien or freezing at the request of the investors or his representative, lien on the securities based on court order in force unless there is another legal objection."
8299009,Customer Care," Center Includes centers founded by foreign and local corporations having several branches and subsidiaries such as hotels, banks, hospitals, to provide services to their customers in respect of hotel reservations, information providing, complaints receiving….etc, this is different from any service provided by public relations or customer services offices operating in a relatively small firm."
7020032,Customs Consultant," Includes firms engaged in advising importer and exporters on customs, involving, customs procedures, restrictions, discrepancies, exemptions, tariffs, customs value, in additions advising on customs cases considered before customs committees. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
6202007,Cyber Risk," Management Services Includes firms which help others with the essential tools needed to identify and asses cyber threats which might include users themselves, networks, devices, all software, processes, information in storage, applications, including recommending effective measures to eliminate or manage cyber threats."
6201010,Cyber Security," Architecture Includes designing the organization’s specific protective objectives that address the necessities and potential risks involved in the theft or damage to the hardware, software or the information on them."
6202006,Cyber Security," Consultancy Includes firms specialized in offering comprehensive professional cyber security consultancy to other organizations on how to prepare for, avoid and protect themselves against cyber-attacks and threats, such threats might involve networks, computers, programs and data damage or unauthorized access."
9609028,Dangerous Animals," Boarding Includes firms engaged in boarding and taking of dangerous animals, including animals, tigers, leopard, wolves, foxes…etc."
6311001,Data Classification &," Analysis Services Includes firms specialized in evaluating and analyzing data provided by public and private entities, as well as classifying according to their common characteristics, in order to discover useful information, informing conclusions, and supporting decision-making by said entities, with the goal of improving the investment returns and optimally utilize the resources, as well as enhancing the capabilities of such entities as regarding solving present problems and future challenges, involving using different techniques to carry out the service including artificial intelligence."
6311006,Data Entry Services," Includes firms which provide data entry services to computer systems and programs, the process involves ordinary data entry and documents scanning for final electronic storing. It involves converting data from one computer language to another. Such services are carried by specialized firms for others against remunerations, firms perform said services for themselves are not listed under this activity"
6311011,Datacenter," Colocation Services Includes firms hosting and maintaining an organization’s owned servers, including space, power, cooling and network resources."
4781005,Dates seller, Includes sellers practicing small dates trading activity on benches and stalls inside popular markets.
8620026,Day Surgical Center," A health facility licensed to receive and treat day cases in which stay will not be overnight, where previous and past operative complications are not expected ( for surgical cases ). It is provided in such cases that diagnosis, clinical lab tests and other procedures doe prior to admission."
8291001,Debt Collecting," Includes firms which pursues payments of debts owed by others to individuals or businesses, whether being postdated checks or bad debts or others, a security deposit of Dh 500000 should be deposited with DED if the legal status of the firm is sole proprietorship or general partnership, and the amount of Dh 2000000 for LLC companies., the minimal degree required is bachelor degree in law or business or economics or a related discipline, along with three years hands-on experience."
4330103,Decoration Design &," Implementation Includes firms engaged in the design and implementation of decoration, landscaping, exhibitions fixtures, it involves preparing the engineering designs and specifications as well as calculations and execution"
9000901,Decorative," Sculptures Making Includes producing sculpture works like statues, shapes, decoration pieces, made out of disposable materials such as polystyrene, paper, Ice, sweets and used decorative in hotels and restaurants parties and feasts or to put in shop display windows."
7210012,Defense &," Surveillance Systems Development Includes specialized firms that develop defense and surveillance systems for military fields, military bases and air fighters through devising necessary developments for these systems."
5320010,Delivery Services," Includes delivering consumer goods and food of the general stores, cooperatives and restaurants to homes, offices, factories, airports and airplanes and others, it excludes delivering mail and parcels and postal item."
3250005,Dental Laboratory, A health facility licensed and equipped to manufacture dental prosthetics to be used by patients as per instructions of the dentist.
8620015,Dental Surgery Clinic, Includes clinics where a surgeon specialized in dental surgery is permanently and continuously available to provide a number of medical procedures that involve artificially modifying dentition. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description
8620013,Dermatology Clinic, Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the skin as well as the prescription of medicine.
3600006,Desalination &," Sewage Treatment Plants Operation & Maintenance Includes firms engaged in managing and directing the physical and technical functions of the desalination and sewage treatment plants as regarding overseeing and controlling the process of production to ensure that the operations are efficient in terms of using as few resources as needed as well as meeting the requirements, it involves equipment maintenance, strategic production policy, systems and productivity analysis, cost and quality control, materials planning."
3600002,Desalination Plant," Includes plants and refineries involved in sea-water desalination by exosmosis methods to produce fresh water good for human consumption or irrigation or other commercial or industrial purposes, also collecting, purifying and transforming to water distribution networks."
8549007,Desert Driving," Institute Includes providing theoretical education and practical driving instruction to the drivers who hold valid driving licenses, to qualify them on the skills of off-road and sand dunes driving, for the sake of acquiring permits to conduct desert driving for tourist companies or to obtain experience to drive their own four wheel vehicles."
1812005,Design & Artwork," Services Includes providing a wide range of design and artworks to firms engaged in printing and publishing. This includes designing books, magazine covers, stamps, greeting cards and brochures, the process may take the traditional for modern techniques."
7410003,Design Services," Includes preparing the preliminary sketches or the plans for different objects, including Interior design, design of gardens and basins, such works shall then be executed by specialized companies."
7120029,Diamond & Precious," Gemstones Testing Laboratory Includes firms which undertake chemical and physical testing for gemstones and diamond to determine their key characteristics, color, clarity, cut and carat weight, as well as providing identification and appraisal reports."
8690008,Dieting & Weight," Control Services Includes firms specialized in diet systems and weight loss or control programs. This process involves consultations, advice, support and regular follow-up to ensure the customer is sticking to his lifestyle changes, in addition to advice on low calorie meals."
4610012,Discount Cards," Services Includes firms which provide other parties with cards that can be used to obtain reduced prices or certain facilities when buying products or services from a group of shops, hotels or other firms participating in the program of reduced prices or facilities provided by such cards, such firms are neither allowed impose charges for obtaining the cards nor to impose contracts on the customers against the provision of the service."
7730044,Disinfecting Booths, & Equipment Rental Includes reselling disinfecting booths and equipment which are installed in different places to disinfect all individuals and vehicles entering and exiting the area
3250021,Disinfecting Booths," Fabrication Includes fabricating disinfecting booths from aluminum or glass, in order to install in different places to disinfect all individuals and vehicles entering and exiting the area"
8121004,Disinfection &," Sterilization Services Includes firms specialized in eliminating bacteria and viruses that trigger infectious diseases by decontaminating indoor air homes, offices, schools and hospitals, also, in cabins such as cars, ambulances and airplanes, it involves using spreading the disinfectants and sterilizers all over the iterior to to eliminate microorganisms."
2592101,Display Products," Making Includes small workshops that make accessories used for displaying goods in shops, price lists, mail stamps, pamphlets, brochures, cards, photo-frames…..ect."
7310005,Distribution of," Advertising Materials & Samples Includes distributing promotional materials such as pamphlets, catalogs, posters and gifts, besides distributing samples of the products which a company produces and is bidding to promote."
7110962,District Cooling," Plants Engineering Includes providing consultancies and services related district cooling plants the distribution networks, it includes preparing preliminary engineering, technical and economic feasibility studies as well as the environmental impact, also, preparing the electromechanical designs, supervision of execution and operation. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
3530002,District Cooling," Services Includes central cooling stations, which supply cold water to central air-condition systems in districts. Cold air is pumped through a 10 kilometers underground network connecting residential units with the station. Other auxiliary works like management, operations, maintenance necessary to achieve this service are also included."
9312022,Diving & Snorkeling," Club Includes sports clubs dedicated to diving and snorkeling training through applying the latest theoretical and practical techniques to optimizing sporting performance and qualify sportsmen for regional and international sport excellence, the process involves emphasizing the physical, skills improving, knowledge and psychological aspects, these firms should set up the facilities that enable conducting the training."
7490008,Diving Services," Includes firms which undertake underwater examination of pipelines, concrete or other scientific or practical applications. The activity of any such firm must be limited to said service, and not a part of other major operations undertaken by firms operating in the fields of offshore oilfields or marine contracting works."
8299023,Document," Verification Follow- up Services Includes firms, which on behalf of others contact the official departments, diplomatic institutions and other domestic or foreign entities to verify personal and business documents, these documents involve educational qualifications, job contracts..etc."
5911004,Documentary," Filming Includes firms which produce documentary films to be eventually released to the public for education or awareness purposes. Organizations may recruit technical and artistic staff to produce motion pictures, including technicians, set designers, costume designers, actors, musicians etc. Also includes promotional activities such as advertising, public relations and events through a licensed media provider."
8299024,Documents & Data," verification Services Includes firms undertake on behalf of governmental and private institutions screening the documents submitted for employment or otherwise, as well as documents relating to transportation equipment and machinery offered for sale or export or being imported to disclose stolen and fake items, the process involves approaching the sources that issued the documents or equipment manufacturers for accreditation, the documents concerned are education certificates, profession licenses, employment history, registration certificates, import declarations ..etc."
8299003,Documents Clearing," Services Includes firms which undertake submitting commercial and personal documents belonged to others to government and non-government bodies and follow up until finalization, these firms are neither allowed to involve in the transactions of the medical fitness examination, nor to conduct the services of the centers that process the transactions of the Government."
8219002,Documents Copying," Services Includes firms which carry out the copying of documents, whether printed, audio or video taped, photographed, microfilmed or otherwise. These firms may use their own facilities or those of other firms."
8219005,Documents, Destroying Services Includes firms offering to the others documents destroying services. The documents could be paper or any other type of data and information stored by any means.
8219004,Documents Storage," Services Includes firms which provide, against remunerations, services to other parties regarding keeping and storing their documents in proper places. These documents may take the form of papers, electronic or mechanical or in recordings. Firms which practice their own storing are not included."
9609010,Domestic Pets," Boarding Includes firms engaged in boarding and taking of domestic pets including dogs, cats, rabbits, tortoises and caged pet birds, involving training, dogs walking …etc."
9602904,Domestic Pets," Grooming Includes providing pets grooming services such as bathing, hair removal, hand stripping, nail clipping, for enhancing the pets’ physical appearance, as well as their well-being and healthiness."
7110938,"Drilling, Stock &"," Production Engineering Services Includes providing services and consultancies related to designing and implementing procedures to drill wells as safely and economically as possible, also, the production engineering which focuses on designing and selecting equipment to extract and treat oil and gas well fiuids, the minimal qualifications required is bachelor degree in chemical or Petroleum engineering, along with three years hands-on experience."
