DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
General Trading,5149-29,Packing & Packaging Materials Trading,تجارة مواد التعبئة والتغليف,Trading,"Includes reselling freight packing and wrapping, industrial packaging materials, including packs, boxes, panels, sheets, foils and straps made of paper, plastic or metal materials or other substances.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5149-31,Waste Paper Trading,تجارة المخلفات الورقية,Trading,"Includes selling waste paper that can be used as feedstock for making recycled paper, such waste is obtained as paper trimmings and scrap from the manufacture of paper, or as material discarded after consumer use in packaging and printing.",No,Any Type,No Restriction,,"50,000 AED per company",,
,5149-32,Scrap & Metal Waste Trading Abroad,تجارة النفايات والمخلفات المعدنية خارج الدولة,Trading,"Includes reselling metal waste and scrap for recycling, including collecting from different sources, sorting and stripping reusable goods such as parts from car wrecks, no real transformation process should be involved, firms practicing this activity are not allowed to deal in military waste and scrap such as weapons and explosives.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Personal & Household Goods,5149-33,Upholstery Requisites Trading,تجارة مواد ولوازم التنجيد,Trading,"Includes reselling upholstery-related materials such as fabrics, leather, buttons upholstering to automobile and marine seats furniture and marine.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5149-34,Sewing & Embroidery Requisites Trading,تجارة لوازم الخياطة والتطريز,Trading,"Includes reselling of tailoring threads, buttons and needles, as well as embroidery golden and silver threads, tiny diamonds, colored ribbons and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5149-35,Plastic Bags & Containers Trading,تجارة العبوات والاكياس البلاستيكية,Trading,Includes the resale of plastic containers and bags used in commercial outlets for packaging.,No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5149-39,Raw Materials Trading,تجارة الخامات والمواد الاولية,Trading,"Includes reselling of mineral ores and organic raw materials used in manufacturing and handcrafting and which are only exploitable after going treatments, extraction or formation processes, they involve pulpwood to make papers, shells for shell handicrafts, extracts and natural herbs for perfumes, medicines and cosmetics, also minerals ores such as sand and rocks for extracting metals, salts and other similar raw materials. This activity does not include what being processed, manufactured or semi-manufactured. It does not involve any of the activities detailed in the various classes of this category.",No,Any Type,No Restriction,,"50,000 AED per company",,
Energy,5149-40,Laboratories Chemicals Trading,تجارة كيماويات المختبرات والمعامل,Trading,"Includes reselling of solutions and chemicals for scientific experiments and research, laboratory analysis, including organic and non- organic acids, alkaline, alcohol, salts, compounds elements, rocks, metals and other solid or liquid chemicals.",No,Any Type,No Restriction,,"50,000 AED per company",Dubai Police General Headquarters - Management of Chemical Precursors,
Energy,5149-42,Petrochemicals Trading,تجارة البتروكيماويات,Trading,"Includes the resale of petrochemicals derived from transforming refined oil derivatives and classified as light petrochemicals such as Olovires, Butylene, Ethylene, Probalene, aromatic compounds, Benzene, Toluene, Xylene Methanol, Formaldehyde, Ammonia and Urea, or intermediate petrochemicals such as Monovinyl chloride and final petrochemicals such as polyethylene, polyvinyl chloride, carbon and the Hydrogen.such products are used in various commercial and industrial as crude before any treatment or transformative operations.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5149-43,Plastic Sheets Trading,تجارة الالواح البلاستيكية,Trading,"Includes the resale of sheets made up of plastic or of similar materials like P.V.C, fiberglass or acryl to be used in industry or construction in covering facades, partitioning, steel gates lining, building pyramids and domes and false ceilings as well as making signboards and guiding signals.",No,Any Type,No Restriction,,"50,000 AED per company",,
Energy,5149-45,Water Treatment & Purification Chemicals Trading,تجارة كيماويات معالجة وتنقية المياه,Trading,"Includes reselling the chemicals which purify water by assisting in the removal of the organic and inorganic particles suspended in water, it involves coagulants such as aluminum sulfate and iron chloride.",No,Any Type,No Restriction,,"50,000 AED per company",Dubai Police General Headquarters - Management of Chemical Precursors,
Technology & Telecom,5151-01,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي,Trading,"Includes reselling computer electric accessories such as distributors, switches, surge suppressors and battery back-ups and cables and connectors",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5151-02,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه,Trading,"Includes reselling the set of application software and its documentation concerned with realizing the user’s needs and problems, and is applicable in different domains, medicine, accounting, engineering.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5151-03,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات,Trading,"Includes reselling tapes, CD-ROMs, ribbons, printers ink, paper and other requisites used in computer operation and data storage.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5151-04,Computer Equipment Requisites Trading,تجارة اجهزة الحاسب الآلي ولوازمه,Trading,"Includes reselling computers and accessories, including servers, modems, monitors, and central processing units, printers, drawing and programmed discs, disc readers, and memory and file storage requisites.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5152-01,Blank Cassette Trading,تجارة شرائط التسجيل غير المسجلة,Trading,"Includes reselling blank video cassettes, audio cassettes, cinematography tapes, and other tapes used for photographing, copying or recording.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5152-05,Electrical & Electronic Appliances Spare Parts Trading.,تجارة قطع غيار الاجهزة الكهربائية والالكترونية,Trading,"Includes reselling the spare parts of the audio-visual electronic equipment, involving radio sets, gramophones, loud-speakers television and video sets, , cinematography and television cameras, also, refrigerators, freezers, water coolers, washing machines and dryers, dishwashers, vacuum cleaners, ironers, heaters, electric kitchen mixers, mincers, cutters, blenders, toasters, juice extractors, grinders, kettles.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5152-06,Telephones & Telecommunications Equipment Trading,تجارة الهواتف واجهزة الاتصال السلكي,Trading,Includes reselling telephone sets and intercommunication equipment (intercom) and other telecommunication devices including fax and telex machines and internal switch boards.,No,Any Type,No Restriction,,"50,000 AED per company",Telecommunications Regulatory Authority,
Technology & Telecom,5152-07,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة ولوازمها,Trading,"Includes reselling cellular phones which make and receive telephone calls over a radio link while moving around a wide geographic area, beside telephony they support a wide variety of services such as text messaging, email, Internet access, gaming and photography, it involves selling different accessories such as memory card, car chargers, batteries, leather cases, screen protectors, Bluetooth headset, data cables, silicone skins, holders…etc.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5152-08,Paging Receivers Trading,تجارة اجهزة النداء العام,Trading,"Includes the resale of wireless paging devices operated as telecommunication systems to receive massages and telephone number, other telecommunication devices are classified in class 5150",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5152-09,Electronic Card Trading,تجارة البطاقات الالكترونية,Trading,"Includes reselling specialized electronic cards such as plastic membership cards, magnetic cards used as key cards and ATM machines, credit cards, smart cards, phone cards, finger print identification cards, in addition to other electronically programmed cards.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5152-10,Electronic Precision Instruments Trading,تجارة الاجهزة الالكترونية الدقيقة,Trading,"Includes selling electronic devices to observe different phenomena indiscernible by ordinary senses, such as sound waves and vibrations detectors, minute objects observers and measuring instruments. Laboratory and medical equipment are not included herein.",No,Any Type,No Restriction,,"50,000 AED per company",Telecommunications Regulatory Authority,
Technology & Telecom,5152-11,Telecommunications Equipment Trading,تجارة معدات الاتصال السلكي,Trading,"Includes reselling of equipment and systems used in operating fixed and mobile telecommunication networks, including exchanges, central switch boards, and mini switch boards located in commercial complexes, intercom systems, optic fibre and copper made inter connecting networks, microphones and internal paging systems. Telephone equipment are classified under 5134.",No,Any Type,No Restriction,,"50,000 AED per company",Telecommunications Regulatory Authority,
Technology & Telecom,5152-12,Wireless Equipment & Instruments Trading,تجارة معدات واجهزة الاتصال اللاسلكي,Trading,"Includes the resale of wireless communication equipment, including mobile and fixed units, massaging devices or inter- communicative mobile unites, also, ground stations receiving information or communication or any transmission oriented by satellites.",No,Any Type,No Restriction,,"50,000 AED per company",Telecommunications Regulatory Authority,
Technology & Telecom,5152-13,Satellite Receiving Equipment Trading,تجارة معدات استقبال القنوات التلفزيونية الفضائية,Trading,Includes reselling of systems and equipment receive radio and television transmission broadcasted by satellites or by special channels irreceivable by ordinary receivers or antennas.,No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5152-14,Global Positioning Systems (G.P.S) Trading,تجارة أنظمة تحديد المواقع جي بي اس,Trading,"Includes specialized systems that provide users, in land or sea, with accurate information about their positions, as well as serving as navigators and trackers in different transport means.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5152-16,SIM Trading,تجارة شرائح الهاتف الإلكترونية,Trading,Includes selling Subscriber Identity Module (SIM) issued by telecommunication companies to store the subscriber’s information in addition to the services the user has access to.,No,Any Type,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
"Construction, Engineering & Machinery",5159-01,Agricultural Tractors & Machinery Trading,تجارة الجرارات والآليات الزراعية ولوازمها,Trading,"Includes reselling of agricultural tractors and machinery, ploughs, seeding devices, and harvesters, and other attachments to enable for different uses.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-02,Agricultural Equipment & Accessories Trading,تجارة المعدات والمكائن الزراعية ولوازمها,Trading,"Includes reselling of agricultural equipment and machinery used in farms, orchards and gardens to cut grass and small trees and roots, pesticides sprayers as well as other attachments to enable for different uses.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-03,Agricultural Equipment & Machinery Spare Parts Trading,تجارة قطع غيار الآلات والمكائن الزراعية,Trading,"Includes reselling the spare parts of the agricultural machinery for soil preparation, planting or fertilizing, ploughing, manure spreading, seeding, grass cutting, sorters, milkers, pesticides sprayers, poultry and bee-keeping.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-04,"Workshop Equipment, Machinery & Spare Parts Trading",تجارة معدات ومكائن الورش وقطع غيارها,Trading,"Includes reselling of workshops cutting, welding, balancing, pressure gauging and other equipment and machinery, also, any other equipment and machinery for carpentry, smithery, lathe workshops, auto and electronic workshops.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-05,Industrial Plant Equipment & Spare Parts Trading,تجارة معدات ومكائن تجهيز المصانع وقطع غيارها,Trading,"Includes reselling equipment and machinery installed in industrial plants (except activities mentioned in this class). It's applied to all kinds of industries including oil refineries, petrochemicals, food and plastic industries.",No,Any Type,No Restriction,,"50,000 AED per company",,
Energy,5159-06,Oilfield & Natural Gas Equipment & Spare Parts Trading,تجارة معدات واجهزة آبار النفط والغاز الطبيعي وقطع غيارها,Trading,"Includes reselling the equipment involved in the various operations of oil and natural gas production, from primary stages of survey and exploration up to storage, including equipment related to drilling, pumping, gas liquefaction, refining and transportation.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-07,Office Furniture Trading,تجارة الاثاث المكتبي,Trading,"Includes reselling of office desks, chairs, tables, cabinets and others, trading of office equipment and shops fittings is classified under class 5150.",No,Any Type,No Restriction,,"50,000 AED per company",,
Energy,5159-08,Solar Energy Systems & Components Trading,تجارة معدات واجهزة الطاقة الشمسية ولوازمها,Trading,"Includes reselling solar panels and slabs energy systems (photovoltaic) installed on tops and facades of residential and commercial buildings, or on the ground to generate power for use in water heating and cooling and energy supply.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-09,Fire Fighting & Safety Equipment Trading,تجارة معدات واجهزة السلامة واطفاء الحريق,Trading,"Includes reselling of equipment and machinery used in vocational safely, labor accident preventives, natural hazards protective tools, also, firefighting equipment like electric cables, smoke exhaust fans, alarm bells, manual extinguishers, hoses, sprinklers, pumps, dampers, emergency/exit lights, nozzles, automatic fire detectors, wet fire systems.",No,Any Type,No Restriction,,"50,000 AED per company",Directorate of Civil Defence,
General Trading,5159-10,Scientific & Laboratory Equipment Trading,تجارة المعدات والاجهزة العلمية والمعملية,Trading,"Includes the re-sale of all equipment, machinery and tools made of glass and used in scientific, medical and research laboratories.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-11,Measuring & Control Systems Trading,تجارة معدات واجهزة القياس والتحكم,Trading,"Includes reselling all systems and equipment used in measurement, observation and control. This applies to land survey, quantities measuring, distances, temperature, humidity, height, geographical and environmental changes, also, equipment and devices to control the flow of water, liquids, electricity, gases, speed regulators, production levels organizers, cadastral and meteorology meters, as well as doors and windows control systems.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-12,Refrigeration & Cold Storage Equipment Trading,تجارة معدات واجهزة الحفظ والتبريد,Trading,"Includes reselling central foodstuff, medicines and chemicals coolers or freezers, including cold compartments, and freezers used for cold storage in groceries and supermarkets, household refrigerators and freezers are classified under activity 5139-15).",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-13,Diving Equipment Trading,تجارة معدات واجهزة الغطس,Trading,"Includes reselling recreational and professional diving equipment such as snorkel, mask, rebreather, weighing system, depth gauge, fins, suits, buoyancy control device, cylinders.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5159-14,"Radio, TV Stations, Cinema & Theater Equipment Trading",تجارة معدات واجهزة الاذاعة والتلفزيون والسينما والمسرح,Trading,"Includes reselling of cameras, lightings, projectors, loudspeakers and montage systems used in broadcasting stations and television studios, as well as cinema and theater and radio and television transmission.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-15,Construction Equipment & Machinery Trading,تجارة معدات وآليات البناء والتشييد,Trading,"Includes reselling of building and construction excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts .",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-16,Air-Condition Trading,تجارة مكيفات الهواء,Trading,"Includes reselling central and window air-conditioners as well as the split units, whether or not linked with general central air-conditioning system, also outdoor cooling products for hotels, resorts and restaurants.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-17,Construction Equipment & Machinery Spare Parts Trading,تجارة قطع غيار معدات وآليات البناء,Trading,"Includes reselling the spare parts of building and construction excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-18,Heavy Equipment & Machinery Spare Parts Trading,تجارة قطع غيار الآلات والمعدات الثقيلة,Trading,"Includes reselling the spare parts of heavy and industrial machinery and equipment used for , handling, refrigeration, air purifying, metal cutting and forming, food, beverage, and tobacco processing, textile apparel, and leather production, lifts, escalators, boilers, central kitchens, automatic washing equipment, electric generators, water pumps",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-19,Beauty & Personal Care Equipment Trading,تجارة معدات التجميل والعناية الشخصية,Trading,"Includes reselling equipment and supplies used in beauty and hair saloons, rehabilitation and personal care centers, also, health oriented equipment like pure and flavoured oxygen generators, relaxation and message equipment like chairs, beds, steam and sauna rooms, other similar ones unclassified as medical or sport equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-20,"Handling, Loading & lifting Equipment Trading",تجارة معدات وآلات التحميل والرفع,Trading,"Includes manufacturing of hand-operated ,towed or power-driven tools and equipment, big or small, to utilize in handling and lifting in airports, seaports , warehouses, and customs stations, including winches, forklifts, handling equipment, carriages, trailers, dollies, ULD transfers and storage systems.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-21,Animal & Poultry Farms Equipment Trading,تجارة معدات وآلات المزارع والمداجن,Trading,"Includes reselling cow, cattle and sheep, or chicken, ducks, pigeons breeding farms machinery and equipment, as well as other birds and animals bred for trading and processing their products.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-22,Vending Machines Trading,تجارة معدات البيع الآلي,Trading,"Includes reselling vending machines located in public places for selling beverages and snacks, newspapers and publications, DVD's, cigarettes, photo booths, as well as paying public services charges such as Etisalat bills payment machines.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-23,Water Desalination Equipment Trading,تجارة معدات وآلات ازالة ملوحة المياه ولوازمها,Trading,Includes reselling equipment involved in the large or limited scale sea water desalination to produce fresh water suitable for human consumption or irrigation.,No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-24,Bricks Making Equipment Trading,تجارة معدات وآلات صنع الطوب,Trading,"Includes reselling bricks manufacturing equipment and machinery, including sand bricks, red bricks and gypsum bricks, whether they are fixed or portable equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-25,Painting Equipment Trading,تجارة معدات وآلات الطلاء,Trading,"Includes reselling painting, polishing or burnishing equipment and machinery.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-26,Bakeries & Flour Mills Equipment Trading,تجارة معدات وآلات المطاحن والمخابز,Trading,"Includes manufacturing machinery and equipment to produce flour such as grinding mills, feeders, sifters, bran cleaners, blenders, rice hullers, pea splitters, also, bakery ovens, dough mixers and dividers, molders, slicers, cake depositors.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-27,Water Treatment Equipment Trading,تجارة معدات معالجة المياه وتنقيتها,Trading,"Includes reselling domestic and industrial water treatment and purification equipment for domestic use or irrigation, it involves deep filters, reverse osmosis plants, ultra filtration plants, UV disinfection systems, ozone systems, ion exchange plants.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-28,Water Cooling & Heating Equipment Trading,تجارة معدات تبريد المياه وتسخينها,Trading,"Include reselling central coolers and boilers for cooling or warming water in buildings, factories and hotel, as well as water coolers in hospitals, schools, mosques and other public places.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-29,Printing Equipment & Instruments Trading,تجارة معدات المطابع ولوازمها,Trading,"Includes reselling machines for different printing processes and techniques and on a variety of materials, such as letterpress, photogravure, offset lithography printing, engraving and intaglio, textile screen Printing, hand printing sets, binding.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-30,Lighting Equipment & Requisites Trading,تجارة معدات الانارة ولوازمها,Trading,"Includes reselling lighting devices in public gardens, parks, squares, airports, sports stadium and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-31,Industrial Kitchen & Catering Equipment Trading,تجارة معدات المطاعم والمطابخ المركزية,Trading,"Includes reselling industrial kitchens equipment and machinery usually used by hotels, restaurants and hospitals to prepare, preserve and serve meals. These equipment are ovens, grillers, dishwashers, cold rooms, chillers, warmers and refrigerators, (glass fronts) service counters, conveyor belts,... etc.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-32,City Cleaning Equipment Trading,تجارة معدات تنظيف المدن,Trading,Includes manufacturing machinery and equipment for outdoor and city cleaning.,No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-33,Building Cleaning Equipment Trading,تجارة معدات تنظيف المباني,Trading,Includes reselling the equipment that facilitate and expedite the cleaning process of buildings interior and exterior.,No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-34,Sea Cleaning Equipment Trading,تجارة معدات تنظيف البحار,Trading,"Includes reselling the specialized mechanical equipment designed to clean up and collect and remove marine floating debris, also the specially designed sifting devices to remove rubbish and other foreign matter form beach sand.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-35,Environment Protection Equipment Trading,تجارة معدات حماية البيئة,Trading,"Includes reselling environment protection and pollution control machinery and equipment, including sewage disposal treatment and waste recycling equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-36,Laundry & Dry Cleaning Equipment Trading,تجارة معدات تنظيف الملابس,Trading,"Includes reselling laundry machinery and equipment for cleaning and ironing clothes, textiles, linen, curtains, carpets and others, whether by steam or dry cleaning.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-37,Auto Washing Equipment Trading,تجارة معدات غسل السيارات وتنظيفها,Trading,"Includes reselling automatic and manual car cleaning and washing equipment, involving fully automatic tunnel car wash equipment, high press automatic car wash equipment, rollover car wash equipment, mobile equipment, vacuum cleaners, foamers, dryers.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-38,Office Equipment Trading,تجارة المعدات المكتبية,Trading,"Includes reselling office equipment in public and private facilities banks, including, automatic and manual file shelves and cabinets, files moving carriages, safes, paper shredders, day and time attendance machines, paper and document binders and laminators, cards printers laminating and other equipment except office furniture.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-39,"Shop, Office Equipment & Fittings Trading",تجارة معدات وتركيبات المحال العامة,Trading,"Includes reselling equipment and fittings for groceries, cooperative outlets, bookshops, kiosks and exhibitions and public shops, including, display shelves, goods storage shelves, counters, electronic promotion machines, also, trolleys, purchase recording equipment, cash safes, insect traps...etc.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-40,Packing & Packaging Equipment Trading,تجارة معدات التعبئة والتغليف,Trading,"Includes reselling semi-automatic and automatic packing and packaging equipment and machinery, for wrapping, bagging, sealing materials.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-41,Well Drilling Equipment Trading,تجارة معدات حفر الآبار,Trading,"Includes reselling well drilling equipment to get ground water whether through manual, percussive or rotary digging techniques.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-42,Pest Control Equipment Trading,تجارة معدات مكافحة الحشرات والحيوانات,Trading,"Includes reselling pests pests control and fighting devices, except pesticides which are classified under activity no.5150-02",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-43,Airport Equipment Trading,تجارة معدات المطارات,Trading,"Includes reselling the support equipment found at airport terminal, such as baggage handling system, x-ray inspectors, metal detectors, luggage and body scanners, also, equipment at the ramp area, such as bag carts, trolleys for containers and pallets, ground power units, container loader, passenger boarding stairs.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-44,Garden Equipment Trading,تجارة معدات الحدائق,Trading,"Includes reselling out-door and parks equipment and fittings such as seats, umbrellas, flower pots, garbage baskets, camping items and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-45,Sports Fields &halls Equipment Trading,تجارة معدات الملاعب والصالات الرياضية وتجهيزاتها,Trading,"Includes reselling outdoor and indoor games articles and equipment for sports, gymnasium, fitness centre or athletic equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5159-46,"Schools, Hospitals & Laboratories Furniture Trading",تجارة اثاث المدارس والمستشفيات والمختبرات,Trading,"Includes reselling furniture for schools, universities, educational institutes, hospitals, clinics, laboratories and others, including seats, tables, cabinets, desks, beds, shelves, safes, display windows, whether partially of wood, metal, plastic or fabrics, or totally made of cane and bamboo.",No,Any Type,No Restriction,,"50,000 AED per company",,
Healthcare,5159-47,"Medical, Surgical Equipment & Instruments Trading",تجارة اجهزة الطب والجراحة وادواتها,Trading,"Includes reselling instruments and equipment used in hospitals and clinics for diagnosis, treatment, surgical operations, medicine and blood preservation, X-raying, sterilization, waste disposal, physical therapy and rehabilitation, also, manual kits and instruments used for check-up, surgical operations and bandaging.",No,Any Type,No Restriction,,"50,000 AED per company",,
Healthcare,5159-48,Veterinary Equipment & Instruments Trading,تجارة اجهزة البيطرة وادواتها,Trading,"Includes reselling equipment and instruments used to deal with the prevention, diagnosis and treatment of disease, disorder and injury in domesticate or wild animals.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-49,Structural Wire Rope Systems Trading,تجارة انظمة الحبال المعدنية الانشائية,Trading,"Includes reselling wire rope systems used in a variety of different structural and decorative applications, such as bridge suspensions, structural bracing, balustrades, banners, mast rigging, awning and fixture hangings.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-50,Sewing Machines & Spare Parts Trading,تجارة مكائن الخياطة وقطع غيارها,Trading,"Includes reselling manual, electrical, electronic and computerized stitching and embroidering clothing, fabrics, shoes and leather products, whether a one person or Industrial sewing machines for automated process of stitching, it involves the needles and other accessories.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-51,"Lifts, Escalators & Spare Parts Trading",تجارة المصاعد والسلالم المتحركة وقطع غيارها,Trading,"Includes reselling lifts fixed in multi-stories facilities to carry people and goods, also, escalators and electric belts in airports, shopping centers, hotels and public utilities.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-52,"Pumps, Engines, Valves & Spare Parts Trading",تجارة المضخات والمحركات والصمامات ولوازمها,Trading,"Includes reselling pumps for water or other liquid pumping, engines and machines for transport means like ships, boats, vehicles. It also includes industrial and automatic equipment and fittings, as well as various types and sizes of valves for different industrial and mechanical purposes, and spare parts needed to repair and maintain such pumps, compressors, engines and valves.",No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5159-53,Calculators & Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها,Trading,Includes reselling the device used to perform both basic and complex operations of arithmetic.,No,Any Type,No Restriction,,"50,000 AED per company",,
Technology & Telecom,5159-54,"Typewriters, Photocopiers & Spare Parts Trading",تجارة الآلات الكاتبة والناسخة وقطع غيارها,Trading,"Includes reselling typewriters, photocopiers, stencil machines, microfilming machines, microfilm and projectors and copiers, as well as spare parts, ribbons, ink, chemicals and accessories.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-55,"Power Generation, Transmission & Distribution Equipment Trading",تجارة معدات توليد الطاقة الكهربائية ونقلها وتوزيعها,Trading,"Includes reselling of power stations turbines, generators, and reactors, transmission and feed equipment, distribution keys, panels, current rectifiers, control systems and others for private or public use.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-56,Automatic Gates & Barriers Trading,تجارة البوابات والحواجز الآلية,Trading,"Includes reselling automatic gates opened and closed doors by remote controls, as well as automatic barriers regulating entrance and exit in private and public parking.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-57,Irrigation Equipment & Requisites Trading,تجارة اجهزة الري ومعداتها ولوازمها,Trading,"Includes reselling equipment and accessories used in the artificial application of water to the land or soil where the natural rainfall was insufficient to support crops, it involves pivots for overhead irrigation, pumps, sprinklers, drippers, control and automation equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-58,Engineering Designing Instruments Trading,تجارة معدات الرسم الهندسي,Trading,Includes reselling stationery items for engineering designing.,No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-59,Security Control & Alarm Equipment Trading,تجارة اجهزة ومعدات الانذار والمراقبة,Trading,"Includes reselling of security-related and monitoring equipment such as observation cameras, anti burglar, motion detectors, intercoms, alarms, access control, barrier gates, safes and security vaults.",No,Any Type,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
"Construction, Engineering & Machinery",5159-60,Green Houses & Equipment Trading,تجارة البيوت الزراعية ومعداتها ولوازمها,Trading,"Includes reselling greenhouses made of glass or plastic and is designed to control the growing environment of plants as regarding temperature and light and humidity, the allow improve food production in lands suffer shortcomings in the growing qualities, as well as they enable certain crops to be grown throughout the year.",No,Any Type,No Restriction,,"50,000 AED per company",,
